State/UT,Year,population(total),Rural,Urban,Tot_M,Tot_F,P_LIT,M_LIT,F_LIT,Lit_rate,Area (km2),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total Crimes,tot_crimes_sc,total crime against women,Total crimes against STs,Total crime against children,Crime Rate
HARYANA,2003,21912605,15575170,6337435,11753611,10175747,12879518,7889592,4989926,69.82,44212,702,446,76,353,0,353,388,271,117,63,190,281,2981,5591,3079,2512,639,586,900,30,122,4153,222,344,1302,1618,0,971,16654,38612,83556,341,6284,0,287,176.2090815
HIMACHAL PRADESH,2003,6224642,5614683,609959,3164369,3065781,4177790,2321675,1856115,76.28,55673,125,74,5,126,0,126,113,96,17,8,0,19,707,627,218,409,610,63,130,3,121,1385,6,250,18,221,0,463,6937,12011,24888,71,4069,12,109,192.9588882
JAMMU & KASHMIR,2003,10594931,7966343,2628588,5599401,4995530,5191650,3265961,1925689,60.04,222236,929,1216,29,211,0,211,712,615,97,23,0,154,1526,1949,576,1373,1167,116,408,21,328,310,10,875,376,71,0,378,10424,21233,45338,0,788,1,49,200.407157
JHARKHAND,2003,28034438,21798551,6235887,14445991,13615104,12856953,8207340,4649613,56.05,79714,1482,957,109,712,0,712,487,262,225,702,37,864,1468,4155,564,3591,2481,265,479,5,147,3062,262,424,2,559,0,642,12902,32203,69760,76,2141,108,35,114.8694331
KARNATAKA,2003,54447968,35943553,18504415,27657359,26736031,32265324,18555309,13710015,66.12,191791,1506,1241,58,321,0,321,531,244,287,220,65,861,6055,14180,4296,9884,5784,495,2752,126,415,21913,194,1585,84,1704,0,172,52143,112405,239842,1844,2216,167,116,206.4448025
KERALA,2003,32160582,23810782,8349800,15577083,16569821,25998048,12932777,13065271,91.58,38863,435,448,343,394,0,394,189,102,87,142,19,634,4409,4891,1668,3223,6798,323,3061,129,413,17696,33,1947,68,2930,0,35,53487,98824,203122,439,4455,65,179,307.2829963
LAKSHADWEEP,2003,61378,34088,27290,31518,29874,46123,25201,20986,88.13,32,0,0,0,2,0,2,0,0,0,0,0,0,6,8,1,7,4,0,0,0,2,1,0,1,0,1,0,0,6,31,72,0,6425,0,1,50.50669621
MADHYA PRADESH,2003,62663031,46083372,16579659,32585810,30072107,33561166,20668182,12892984,68.53,308245,2227,2413,203,2738,0,2738,887,608,279,153,141,1578,12884,20422,5262,15160,2729,549,1222,38,868,29358,648,6848,705,2938,0,3778,97751,191078,406203,5507,0,1779,2662,304.9293929
MAHARASHTRA,2003,99806781,57463525,42343256,51872809,47911137,67154371,38687235,28467136,77.91,307713,2772,1412,113,1268,0,1268,926,626,300,514,249,2096,13892,37098,9271,27827,5714,1561,5005,261,1188,29205,368,2661,682,5452,0,9378,42491,164306,367904,697,14474,217,2001,164.624085
MANIPUR,2003,2241082,1645366,595716,1155596,1131978,1418585,810253,608332,71.85,22327,150,199,6,18,0,18,120,71,49,3,0,6,68,252,124,128,73,16,76,7,47,324,0,44,0,4,0,4,1120,2537,5464,0,13117,4,36,113.2042469
MEGHALAYA,2003,2436210,1959111,477099,1233216,1200585,1263854,665674,598180,64.7,22429,175,60,17,40,0,40,49,10,39,83,1,133,160,360,108,252,5,12,34,4,16,106,0,13,1,4,0,41,355,1669,3787,0,139,0,46,68.50805144
MIZORAM,2003,926283,466561,459722,476720,449885,694133,366394,327739,89.3,21081,46,36,3,54,0,54,8,2,6,5,0,21,487,1303,57,1246,3,19,60,12,23,142,0,88,0,3,0,11,1132,3456,8277,0,130,0,17,373.1041161
NAGALAND,2003,1986056,1643955,342101,1042329,944780,1151323,647883,503440,67.78,1483,91,34,8,14,0,14,38,3,35,19,0,92,95,221,37,184,8,3,11,7,5,48,0,4,2,0,1,41,234,976,2225,27,24,263,0,49.14262236
ODISHA,2003,37767800,32106182,5661618,19145117,18637286,21035173,12550323,8484850,65.04,155707,1044,1214,188,725,0,725,477,373,104,178,30,875,2961,5359,1076,4283,1408,254,937,11,337,4759,279,1669,188,1289,0,2497,20602,47281,101123,17,26,484,140,125.1886528
PUDUCHERRY,2003,1023669,342215,681454,509618,513856,740373,399486,340887,82.12,479,29,32,0,2,0,2,18,13,5,2,0,11,126,567,295,272,159,12,32,1,18,1053,1,56,27,4,0,182,2185,4517,9621,27,4685,0,5,441.2559138
PUNJAB,2003,24996447,16517716,8478731,13298555,11694653,15460864,8800592,6660272,70.83,50362,731,644,89,380,0,380,464,295,169,30,117,108,2094,3198,1375,1823,0,343,3123,56,71,4124,110,346,199,987,0,2226,9316,28756,61554,0,100,0,184,115.0403495
RAJASTHAN,2003,58790077,45041842,13748235,30548591,28164923,29497638,19034859,10462779,61.53,342239,1262,1977,61,1050,0,1050,2238,1750,488,36,41,655,6072,16456,5491,10965,4052,902,7225,58,784,26173,389,2715,33,5733,1,5074,62592,145579,310902,0,1914,912,240,247.6251222
SIKKIM,2003,553908,492593,61315,294865,258970,266123,155354,110769,69.47,7096,14,7,3,10,0,10,0,0,0,2,0,3,48,65,3,62,10,7,12,3,2,56,0,25,0,1,0,18,157,443,961,0,12946,6,15,79.97718033
TAMIL NADU,2003,64291888,35977188,28314700,32286288,31954477,42534968,23777725,18757243,74.77,130058,1591,1843,28,557,1,556,879,632,247,95,43,514,4849,18213,4581,13632,3706,307,1904,63,791,30228,220,2022,881,1555,1,9112,77784,157186,334021,5,48,67,177,244.488076
TRIPURA,2003,3289406,2728269,561137,1687529,1602457,2157993,1213683,944310,74.5,10486,254,87,0,114,0,114,146,29,117,36,0,69,167,276,10,266,274,3,25,3,83,534,20,127,0,247,0,109,940,3514,7564,0,5914,0,0,106.8277981
UTTAR PRADESH,2003,172573438,136708884,35864554,90567897,81809307,82188811,52283239,29905572,58.31,240928,5284,3793,1525,911,0,911,2208,1499,709,317,196,1988,4016,15751,5605,10146,2251,1746,2911,226,297,7760,1322,1098,4970,2626,0,4428,29449,95073,209016,0,670,47,1702,55.09132871
UTTARAKHAND,2003,8797714,6539488,2258226,4474254,4306184,5416146,3161198,2254948,72.91,53483,268,236,31,107,0,107,171,134,37,26,3,160,557,1368,400,968,392,138,379,8,33,687,93,136,98,317,0,362,2353,7923,17492,0,14964,5,23,90.05748539
WEST BENGAL,2003,82274326,59260177,23014149,42467138,39801684,49726922,28617533,21109389,70.15,88752,1425,400,484,1002,0,1002,902,801,101,217,883,598,342,12613,2581,10032,2596,378,1534,153,87,4172,329,1186,71,4948,1,2300,24553,61174,136865,0,982,3,148,74.35369328
A& N ISLANDS,2004,363610,244916,118694,195879,167425,264696,151728,112809,82.5,8249,15,1,2,10,0,10,3,3,0,0,0,3,69,103,9,94,9,0,12,0,9,105,0,6,3,5,0,6,387,748,1612,0,11794,1,14,205.7149143
ANDHRA PRADESH,2004,78752701,57249485,21503214,39659469,39032359,42753651,24953042,18282241,62.2,275045,2579,1908,163,1016,0,1016,1526,1030,496,199,2,596,8457,23578,5042,18536,2540,898,7928,175,915,43335,512,3817,2310,8388,2,11452,36460,158756,343632,0,36,566,1328,201.5880065
ARUNACHAL PRADESH,2004,1175482,931514,243968,617248,559491,556400,339615,216785,57.3,83743,67,45,1,42,0,42,65,41,24,30,2,45,215,388,75,313,65,26,34,1,19,429,0,61,0,4,0,0,717,2256,5007,0,19006,75,22,191.9212714
ASSAM,2004,27955573,24348593,3606980,14406348,13554516,15398360,8844165,6554195,65.6,78438,1214,410,63,1171,0,1171,1906,1552,354,360,31,505,2544,5866,685,5181,3615,586,865,57,379,5911,74,883,11,1945,0,2239,10040,40675,90293,20,168,12,21,145.4987168
BIHAR,2004,88858132,79563405,9294727,46432670,42561362,36383438,23491094,12892344,50.9,94163,3948,2995,280,1390,1,1389,3413,997,2416,1319,145,2986,3175,11113,2083,9030,9793,1701,2764,57,707,11231,1029,704,13,2679,35,2405,44178,108060,232036,2646,6741,59,59,121.6095787
CHANDIGARH,2004,944558,96611,847947,528528,417793,687977,404915,283062,83.1,114,22,19,10,19,0,19,54,43,11,0,2,6,186,1459,653,806,43,23,135,4,0,65,6,20,18,73,0,5,720,2889,7310,0,5818,0,66,305.8573428
CHHATTISGARH,2004,22174085,17719061,4455024,11148046,11026039,12295484,7291083,5004401,66.25,135191,927,619,25,969,0,969,214,174,40,106,8,363,3720,5014,1316,3698,790,101,424,42,242,3899,71,1661,131,741,0,1717,20143,41927,90051,698,221,676,940,189.0810827
D & N HAVELI,2004,251612,194028,57584,140440,111804,130913,88880,42033,62.77,491,11,4,0,7,0,7,12,7,5,3,0,2,20,53,20,33,17,12,22,0,2,35,0,5,0,3,0,8,193,409,890,0,3735,4,11,162.5518656
DAMAN & DIU,2004,180016,114761,65255,107092,72832,127181,84073,43108,80.76,112,11,4,0,7,0,7,12,7,5,3,0,2,20,53,20,33,17,12,22,0,2,35,0,5,0,3,0,8,193,409,890,0,32,1,2,227.2020265
DELHI,2004,14655077,999604,13655473,7994755,6676203,10485459,6103321,4382138,83.01,16579,481,519,80,551,0,551,1209,881,328,30,135,461,1875,18994,8873,10121,67,445,2322,44,38,1780,126,601,130,1254,0,433,22048,53623,128000,4,8,0,766,365.9004999
GOA,2004,1380268,693470,686798,701989,677604,1035533,562406,473127,83.24,3702,40,6,5,37,0,37,13,10,3,5,0,18,261,503,120,383,33,49,61,0,7,170,2,23,15,17,0,216,646,2127,4807,0,4416,0,53,154.100508
GUJARAT,2004,53456796,33485803,19970992,27754246,25545170,32940170,19486898,13453272,74.44,196024,1113,469,27,339,0,339,1133,905,228,360,15,1136,5828,18551,6931,11620,1599,1612,1726,122,388,12262,58,757,164,3955,0,3958,49897,105469,230961,1309,70,241,799,197.2976457
HARYANA,2004,22307031,15855523,6451508,11953422,10379261,13292133,8102610,5189523,70.79,44212,733,441,65,386,0,386,423,292,131,52,145,244,2786,6558,3735,2823,699,534,1089,32,95,4194,251,403,850,2026,0,981,16109,39096,85559,303,7200,0,164,175.2631267
HIMACHAL PRADESH,2004,6299337,5682059,617278,3203290,3104409,4270159,2365786,1904373,76.18,55673,110,77,12,153,0,153,123,99,24,1,0,25,766,643,192,451,562,97,174,6,112,1421,8,284,16,252,0,469,7015,12326,25571,88,4525,11,92,195.6713857
JAMMU & KASHMIR,2004,10828018,8141602,2686416,5722587,5105431,5395710,3373737,2021973,62.44,222236,816,1112,29,218,0,218,735,632,103,28,0,129,1420,1939,573,1366,1116,105,414,32,320,334,9,990,264,82,0,422,10677,21191,45274,1,790,1,35,195.7052528
JHARKHAND,2004,28595126,22234522,6360604,14734910,13901021,13436043,8502804,4933239,57.33,79714,1488,1143,115,797,0,797,468,178,290,580,55,780,1419,4374,560,3814,2281,333,441,6,167,2294,275,411,3,588,36,416,12969,31439,68517,126,2425,123,112,109.9453103
KARNATAKA,2004,55264687,36482706,18781981,28044562,27137071,33222766,19019191,14203575,66.15,191791,1519,1387,57,291,1,290,592,286,306,177,109,1024,6093,16093,5185,10908,6237,423,2759,65,248,21232,259,1435,57,1588,0,277,52518,114440,245856,1643,2621,173,189,207.0761751
KERALA,2004,32321384,23929835,8391549,15631602,16669239,26258425,13023306,13235119,91.58,38863,417,391,473,480,0,480,232,142,90,129,15,639,4580,5240,1717,3523,6461,336,3755,99,374,20610,31,2260,133,3222,0,42,54106,104025,214002,438,4822,82,341,321.8457477
LAKSHADWEEP,2004,61745,34292,27453,31713,30053,46860,25553,21405,88.87,32,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5,37,0,0,1,0,6,0,0,0,1,0,0,18,70,145,0,7301,0,0,113.3695036
MADHYA PRADESH,2004,63853628,46958956,16894672,33172354,30673549,34593589,21184886,13408703,71.06,308245,2379,2563,188,2875,0,2875,832,584,248,147,134,1526,12308,22586,6148,16438,2479,548,1287,36,893,33285,751,6690,804,3436,0,4209,96911,196867,420027,4699,1,1667,3653,308.3098113
MAHARASHTRA,2004,101303881,58325477,42978404,52624964,48644177,68810596,39460979,29349617,78.45,307713,2696,1463,115,1388,0,1388,1045,787,258,629,315,2229,14659,43952,11307,32645,5980,1528,5167,218,1149,30122,314,2831,862,5646,0,9574,44420,176302,398989,715,14275,231,2281,174.0328191
MANIPUR,2004,2279180,1673337,605843,1186797,1163673,1475938,840232,635706,72.54,22327,159,227,3,31,0,31,128,71,57,2,2,3,66,244,108,136,115,25,142,4,85,233,0,30,0,2,0,35,999,2535,5473,0,14010,0,31,111.2242122
MEGHALAYA,2004,2497114,2008088,489026,1262813,1230599,1320456,692966,627490,65.79,22429,124,42,7,54,0,54,54,18,36,91,2,81,142,418,138,280,2,25,44,2,15,123,2,34,0,5,0,51,434,1752,4030,0,171,0,0,70.16099385
MIZORAM,2004,945734,476358,469376,485777,460459,711081,374821,336260,89.55,21081,35,21,2,20,0,20,15,0,15,10,0,6,250,610,0,610,2,30,20,6,22,80,0,66,0,0,0,0,320,1515,3675,0,175,0,0,160.1930353
NAGALAND,2004,1984069,1642311,341758,1039931,945724,1170676,655657,515019,69,1483,70,33,5,18,0,18,23,4,19,14,0,117,70,255,26,229,6,11,28,0,5,52,0,3,1,0,0,34,239,984,2264,0,26,0,1,49.59504937
ODISHA,2004,38258781,32523562,5735219,19392089,18888889,21663224,12838980,8824244,66.04,155707,1066,1197,25,770,0,770,526,423,103,238,0,952,2992,5967,1401,4566,1433,271,805,14,343,4938,319,1811,170,1192,0,2652,21058,48739,104741,1398,33,602,129,127.3929768
PUDUCHERRY,2004,1049260,350770,698490,521339,527627,763430,410272,353158,82.57,479,25,18,14,4,0,4,10,8,2,0,0,1,86,634,322,312,147,7,35,2,9,974,6,50,30,2,0,176,2390,4620,9888,23,5773,0,12,440.3103139
PUNJAB,2004,25321400,16732446,8588954,13458137,11858378,15825503,8985404,6840099,71.43,50362,775,716,148,390,0,390,463,311,152,17,79,86,1766,2587,1132,1455,16,313,2729,60,52,4402,113,261,38,801,0,2181,7637,25630,54700,134,105,0,193,101.218732
RAJASTHAN,2004,59965877,45942678,14023199,31129014,28719771,30440552,19548800,10891752,62.1,342239,1279,2030,59,1038,0,1038,2384,1881,503,58,46,673,5911,18842,6648,12194,3101,885,8333,65,835,25947,379,2825,41,6781,1,5579,67767,154859,331982,596161,1906,863,403,258.2452017
SIKKIM,2004,560554,498504,62050,298108,262336,283729,164985,118744,70.84,7096,16,8,3,3,0,3,5,4,1,0,0,5,64,73,6,67,76,4,22,1,7,78,0,40,0,1,0,29,196,631,1343,16,11431,22,8,112.5672103
TAMIL NADU,2004,65256265,36516845,28739420,32738296,32440185,43578260,24277057,19301203,75.44,130058,1479,1772,26,618,0,618,870,692,178,72,54,464,4147,17530,3996,13534,3433,268,2121,40,662,30855,225,1861,1081,1437,0,9152,88439,166606,352230,1156,62,13,393,255.3103522
TRIPURA,2004,3335456,2766464,568992,1710648,1625692,2229478,1246452,983026,75.17,10486,189,36,0,160,0,160,99,54,45,27,2,46,166,260,49,211,148,17,34,12,24,452,20,134,0,302,0,85,868,3081,6681,1,5648,12,59,92.37117803
UTTAR PRADESH,2004,175852332,139306352,36545980,92107551,83445493,85641153,54060869,31580284,59.35,240928,6126,5580,1436,1397,0,1397,3337,2324,1013,378,98,2606,5299,22524,8452,14072,3915,2377,4184,188,381,11265,1708,1900,2682,4950,3,7136,40711,130181,287620,3785,840,6,1921,74.02858894
UTTARAKHAND,2004,8956072,6657198,2298874,4550316,4379389,5578608,3240227,2338381,73.56,53483,262,247,29,115,0,115,213,127,86,37,1,165,566,1597,500,1097,444,157,372,13,28,865,82,143,110,405,0,464,2319,8634,19193,137,14258,1,57,96.40386991
WEST BENGAL,2004,83343891,60030559,23313332,42976743,40358907,51045609,29218501,21827108,70.92,88752,1425,390,468,1475,0,1475,1200,1018,182,212,943,535,547,14465,2668,11797,2691,425,1686,125,103,3867,396,1566,64,6334,12,2995,27426,69350,155840,14,782,12,206,83.20945803
A& N ISLANDS,2005,366118,246606,119512,196858,168864,268666,153397,115065,82.9,8249,14,3,3,4,0,4,2,1,1,0,0,4,68,92,6,86,4,8,13,0,6,79,0,11,1,5,0,3,362,682,1462,0,12690,17,8,186.2787407
ANDHRA PRADESH,2005,79618978,57879229,21739749,40044165,39492940,43736984,25477055,18922119,62.8,275045,2750,1724,111,935,1,934,1612,995,617,250,4,794,7954,23778,5465,18313,2026,948,7909,257,967,42179,443,3595,2508,8696,3,9973,37707,157123,340571,3117,54,793,950,197.3436534
ARUNACHAL PRADESH,2005,1202518,952938,249580,630210,574037,582550,352542,230008,58.3,83743,81,37,5,35,0,35,58,39,19,23,0,77,263,531,119,412,23,36,28,4,13,383,0,67,0,9,0,69,562,2304,5232,2,22304,27,22,191.5979636
ASSAM,2005,28402862,24738170,3664692,14622443,13787653,15890475,9074113,6816362,66.4,78438,1194,503,117,1238,0,1238,1751,1456,295,334,22,451,2255,6369,955,5414,2760,487,873,103,423,5906,99,899,19,2206,3,2695,11299,42006,93370,282,185,244,199,147.8935468
BIHAR,2005,90901869,81393364,9508505,47547054,43540273,38345294,24524702,13820592,52.3,94163,3471,3307,259,1147,0,1147,2693,929,1764,1212,165,2374,3117,10812,2134,8678,7671,1181,1829,50,760,11939,1014,451,13,1574,74,2680,40057,97850,210352,1824,6807,115,115,107.6435513
CHANDIGARH,2005,959670,98156,861514,535927,426148,703595,412608,290987,83.5,114,18,15,4,33,0,33,54,45,9,0,2,12,223,1373,579,794,43,41,161,0,1,57,3,31,9,75,0,9,969,3133,7726,0,6543,0,57,326.4663895
CHHATTISGARH,2005,22639740,18091161,4548579,11382154,11257585,12694805,7495233,5199572,65.78,135191,1013,660,41,990,0,990,246,184,62,204,25,401,3621,5600,1619,3981,893,110,431,73,214,3734,100,1450,132,732,0,2004,20959,43633,94102,454,224,583,997,192.7274783
D & N HAVELI,2005,262934,202759,60175,147321,116499,141431,95279,46152,64.59,491,7,5,0,5,0,5,13,9,4,3,0,2,25,74,17,57,18,12,10,4,1,33,0,5,0,5,0,17,195,434,960,2,3747,1,5,165.0604334
DAMAN & DIU,2005,187936,119810,68126,112446,75381,134471,88949,45522,81.64,112,7,5,0,5,0,5,13,9,4,3,0,2,25,74,17,57,18,12,10,4,1,33,0,5,0,5,0,17,195,434,960,2,16,0,5,230.9296782
DELHI,2005,14933522,1018596,13914926,8128267,6827085,10774827,6243697,4531130,83.47,16579,455,467,64,658,0,658,1590,1106,484,27,157,510,2093,17955,8862,9093,61,394,2378,36,47,1814,114,762,225,1324,1,634,24299,56065,132333,21,6,0,1026,375.4305247
GOA,2005,1381309,699017,682292,706973,683431,1052779,569717,483062,83.65,3702,45,15,5,20,0,20,17,12,5,2,0,28,265,495,185,310,45,50,58,6,12,155,2,30,8,11,0,209,641,2119,4770,2,4725,0,53,153.405212
GUJARAT,2005,54419016,34088547,20330469,28226068,25979437,34049453,20071504,13977949,76.3,196024,1033,452,27,324,0,324,1164,916,248,282,15,966,5332,17964,7083,10881,1628,1370,1541,447,320,10503,48,802,104,4090,0,4120,60882,113414,246280,1307,70,164,836,208.4087665
HARYANA,2005,22708557,16140922,6567635,12156630,10586846,13718483,8321380,5397103,71.78,44212,784,513,57,461,0,461,492,344,148,88,138,390,3437,8694,5034,3660,899,562,1204,31,119,4569,212,380,597,2075,0,1083,15879,42664,94975,380,8216,0,374,187.8763146
HIMACHAL PRADESH,2005,6374928,5750243,624685,3242690,3143524,4364622,2410736,1953886,76.08,55673,110,79,22,141,0,141,118,102,16,6,0,22,696,696,166,530,558,82,163,6,97,1359,2,286,29,228,0,480,7165,12345,25645,101,4549,17,131,193.6492459
JAMMU & KASHMIR,2005,11066234,8320717,2745517,5848483,5217750,5608141,3485070,2123071,64.93,222236,647,905,37,201,0,201,748,658,90,13,0,116,1397,1901,504,1397,1222,117,403,29,240,355,5,830,371,76,0,462,10040,20115,43080,1,1014,0,57,181.7691547
JHARKHAND,2005,29167028,22679212,6487816,15029608,14192942,14043070,8808904,5234166,58.64,79714,1523,1084,87,753,5,748,621,283,338,592,49,732,1610,6195,1181,5014,2524,243,643,19,202,3078,257,293,36,590,4,1490,12550,35175,77919,277,2519,332,97,120.598506
KARNATAKA,2005,56093656,37029946,19063710,28437185,27544127,34209574,19494671,14714903,66.18,191791,1609,1406,80,343,0,343,589,312,277,208,119,1202,5986,17008,5920,11088,6151,434,2909,133,238,20883,261,1585,71,1883,0,243,54239,117580,253100,1780,2850,214,191,209.6137217
KERALA,2005,32482990,24049484,8433506,15686312,16769254,26521644,13114469,13407175,92.3,38863,388,341,88,478,0,478,226,129,97,110,158,621,4110,5454,1969,3485,6535,361,3261,79,456,18302,21,2339,175,3283,0,34,57530,104350,214858,345,5440,75,386,321.2450578
LAKSHADWEEP,2005,62114,34497,27617,31909,30233,47609,25910,21833,89.62,32,1,0,0,0,0,0,0,0,0,0,0,0,2,7,0,7,6,0,0,0,0,4,0,0,0,0,0,0,22,42,91,0,7601,0,0,67.61760634
MADHYA PRADESH,2005,65066846,47851176,17215670,33769456,31287019,35659559,21714508,13945051,73.68,308245,2405,2512,134,2921,0,2921,847,604,243,147,130,1557,11192,20685,6390,14295,2573,613,1292,51,817,33803,739,6426,792,2989,3,4593,91951,189172,402797,4356,5,1498,3721,290.7348544
MAHARASHTRA,2005,102823439,59200359,43623080,53388025,49388432,70509653,40250198,30259455,78.99,307713,2621,1614,98,1545,0,1545,1194,851,343,641,307,2411,15615,46851,12189,34662,6779,1720,6391,385,1123,30017,341,3228,919,6233,0,9608,47386,187027,423644,865,15299,267,2305,181.8914071
MANIPUR,2005,2317925,1701783,616142,1218840,1196255,1535632,871320,664312,73.23,22327,256,252,4,25,0,25,106,69,37,4,0,8,62,243,92,151,35,52,122,10,155,295,0,25,0,20,0,5,1234,2913,6200,0,14555,26,20,125.6727461
MEGHALAYA,2005,2559541,2058290,501251,1293120,1261363,1379614,721377,658237,66.9,22429,134,35,2,63,0,63,48,19,29,81,1,95,148,476,116,360,42,18,39,3,70,135,1,44,0,3,0,61,381,1880,4347,0,188,0,81,73.45066948
MIZORAM,2005,965593,486361,479232,495006,471278,728443,383441,345002,89.8,21081,24,24,5,37,0,37,13,0,13,3,0,6,442,777,0,777,35,11,58,5,20,77,4,49,4,0,0,4,558,2156,5139,0,171,0,74,223.2824803
NAGALAND,2005,1982084,1640668,341416,1037539,946669,1190388,663524,526864,70.24,1483,87,26,8,17,0,17,26,9,17,12,0,80,93,294,97,197,8,17,41,5,4,35,0,7,0,0,0,37,252,1049,2435,0,33,0,0,52.92409403
ODISHA,2005,38756144,32946368,5809776,19642246,19143889,22311489,13134276,9177213,67.06,155707,1079,1279,48,799,0,799,641,547,94,184,50,998,3029,6743,1626,5117,1515,301,1040,31,386,5919,334,2238,184,1671,0,3034,20182,51685,111553,1439,34,349,86,133.3595004
PUDUCHERRY,2005,1075491,359539,715952,533329,541767,787220,421349,365871,83.02,479,19,24,8,6,0,6,6,3,3,1,0,5,67,466,235,231,159,8,41,0,9,857,4,60,26,6,0,224,2579,4575,9628,14,5387,0,8,425.3871023
